,day,year,DIN,Temp,po4,sio4,Date,month
1,1,2011,18.73568978,7.519764622,0.736643435,9.374834594,1/1/2011,1
2,2,2011,18.62518159,7.482794387,0.730444577,9.316478011,1/2/2011,1
3,3,2011,18.51467339,7.445824151,0.724245719,9.258121427,1/3/2011,1
4,4,2011,18.4041652,7.408853916,0.718046861,9.199764844,1/4/2011,1
5,5,2011,18.293657,7.37188368,0.711848003,9.14140826,1/5/2011,1
6,6,2011,18.18314881,7.334913445,0.705649145,9.083051677,1/6/2011,1
7,7,2011,18.07264062,7.29794321,0.699450287,9.024695094,1/7/2011,1
8,8,2011,17.96213242,7.260972974,0.69325143,8.96633851,1/8/2011,1
9,9,2011,17.85162423,7.224002739,0.687052572,8.907981927,1/9/2011,1
10,10,2011,17.74111604,7.187032503,0.680853714,8.849625343,1/10/2011,1
11,11,2011,17.63060784,7.150062268,0.674654856,8.79126876,1/11/2011,1
12,12,2011,17.52009965,7.113092032,0.668455998,8.732912177,1/12/2011,1
13,13,2011,17.40959146,7.076121797,0.66225714,8.674555593,1/13/2011,1
14,14,2011,17.29908326,7.039151562,0.656058282,8.61619901,1/14/2011,1
15,15,2011,17.18857507,7.002181326,0.649859424,8.557842426,1/15/2011,1
16,16,2011,17.07806688,6.965211091,0.643660566,8.499485843,1/16/2011,1
17,17,2011,16.96755869,6.928243551,0.637461765,8.441129487,1/17/2011,1
18,18,2011,16.85705058,6.891294688,0.631263307,8.382774497,1/18/2011,1
19,19,2011,16.74654259,6.854393198,0.625065532,8.324422238,1/19/2011,1
20,20,2011,16.63603481,6.817570278,0.618868785,8.266074077,1/20/2011,1
21,21,2011,16.52552784,6.780859074,0.612673457,8.207731583,1/21/2011,1
22,22,2011,16.41502449,6.74430052,0.606480145,8.149397152,1/22/2011,1
23,23,2011,16.30452812,6.707939089,0.600289497,8.091073382,1/23/2011,1
24,24,2011,16.19404207,6.671825613,0.594102158,8.032762873,1/24/2011,1
25,25,2011,16.08356971,6.636012517,0.587918777,7.974468223,1/25/2011,1
