"","Parameter","Min","Max"
"1","maxUptake",0.38432273932267,0.844147801748477
"2","ksPAR",125,209
"3","ksDIN",1.69846587232314,4.01204779738327
"4","ksP",0.316322095808573,0.43724569468759
"5","ksSi",0.37668244917877,0.650872332323343
"6","maxGrazing",0.863040809473023,0.960913568921387
"7","ksGrazing",1.35260586743243,2.20512322918512
"8","pFaeces",0.253038274520077,0.364164975960739
"9","excretionRate",0.120312656695023,0.164700753008947
"10","mortalityRate",0.302966704475693,0.424149907717947
"11","ChlNratio",7.05647920817137,7.67568807816133
"12","Tobs",9.52040812559426,13.0810878556222
"13","kd",0.415051045063883,0.578738644886762
