"","Parameter","Min","Max"
"1","maxUptake",0.501981151523069,1.03582258502138
"2","ksPAR",108,209
"3","ksDIN",1.69088647683384,3.98652385018068
"4","ksP",0.292361514724325,0.433145833818708
"5","ksSi",0.365669722738676,0.638274843711406
"6","maxGrazing",0.855584883573466,0.954045496345498
"7","ksGrazing",1.4238417444285,2.16936538589652
"8","pFaeces",0.261404454219155,0.404948428599164
"9","excretionRate",0.115643508429639,0.158934142638464
"10","mortalityRate",0.322436252987245,0.438702431856654
"11","ChlNratio",6.47012919792905,7.54009013040923
"12","Tobs",9.34444881416857,13.4034961825237
"13","kd",0.276356386361877,0.396949673669878
