"","Parameter","Min","Max"
"1","maxUptake",0.378093230014201,0.843405023100786
"2","ksPAR",115,212
"3","ksDIN",1.68479348544497,4.09705051966012
"4","ksP",0.279805988469161,0.428737550345249
"5","ksSi",0.377163487160578,0.68157555880025
"6","maxGrazing",0.877596632856876,0.960557343577966
"7","ksGrazing",1.14932255097665,1.64341177907772
"8","pFaeces",0.23996509432327,0.337959011853673
"9","excretionRate",0.110537108127028,0.145739970216528
"10","mortalityRate",0.29806221940089,0.437221238447819
"11","ChlNratio",5.47696456103586,7.09282503812574
"12","Tobs",9.51415425911546,12.4934206455946
"13","kd",0.399549137502909,0.601624726392329
