"","Parameter","Min","Max"
"1","maxUptake",0.410692383360584,0.869685691926862
"2","ksPAR",115,206
"3","ksDIN",1.98689725226723,4.10422498590196
"4","ksP",0.293383631063626,0.442351590481121
"5","ksSi",0.384056274336762,0.670401818584651
"6","maxGrazing",0.859773882548325,0.959333261102438
"7","ksGrazing",1.16422752430663,1.7261281759711
"8","pFaeces",0.25208997875452,0.37705398685066
"9","excretionRate",0.108357088139747,0.14205755260773
"10","mortalityRate",0.312751064222539,0.437444102281006
"11","ChlNratio",4.30763283825945,6.4878814634867
"12","Tobs",9.45625811908394,13.2466880306601
"13","kd",0.264930131927831,0.385734161111759
