"","Date","n_mol","month"
"1",2014-01-20,0.0101253539317897,1
"2",2014-02-28,0.0372466005842294,2
"3",2014-03-24,0.0317464447835307,3
"4",2014-04-16,0.00246761818952725,4
"5",2014-06-24,0.0364561916918154,6
"6",2014-07-23,0.031640280854092,7
"7",2014-11-18,0.011617875544934,11
"8",2014-12-16,0.00465638672573529,12
"9",2015-02-18,0.0101281422071774,2
"10",2015-03-24,0.0419398650694456,3
"11",2015-04-29,0.0185421119545115,4
"12",2015-05-18,0.110808708603824,5
"13",2015-06-24,0.443490295934391,6
"14",2015-07-23,0.0584409940288522,7
"15",2015-08-18,0.0172069809926328,8
"16",2015-09-29,0.0565508320602807,9
"17",2015-10-28,0.0318360719939109,10
"18",2015-11-23,0.0146297977705323,11
"19",2015-12-23,0.00264515006077907,12
"20",2016-01-28,0.0068702827704888,1
"21",2016-02-16,0.018441188272042,2
"22",2016-03-30,0.0217679203647906,3
"23",2016-04-28,0.00303539509374032,4
"24",2016-05-25,0.217651464259595,5
"25",2016-06-14,0.0434585545801278,6
"26",2016-07-25,0.146193823038714,7
"27",2016-08-23,0.0382186864224782,8
"28",2016-10-26,0.0307919368473538,10
"29",2016-11-23,0,11
"30",2016-12-19,0.00586908472419725,12
"31",2017-03-28,0.0646539031125243,3
"32",2017-05-23,0.0588333338327116,5
"33",2017-06-21,0.137425323648822,6
"34",2017-07-24,0.00901565718503605,7
"35",2017-08-21,0.0406905343907356,8
"36",2017-10-23,0.00453474827476988,10
"37",2017-12-19,0.0234808970783272,12
